report_id,prompt_id,prompt_name,trial,report_text
A_001,A,Evidence-first newsroom brief,1,"The Guardian dashboard for 2026-04-01 to 2026-04-30 shows 482 articles across 10 countries. United Kingdom has the most raw coverage (118 articles), and Japan has the least (18). The raw gap is 6.6x, but the per-capita view shifts attention toward Australia (2.7 per 1M). Because this is only Guardian data, the result should be treated as an editorial attention measure, not a universal measure of country importance. A useful next step is to assign follow-up review to countries that are low in both raw and per-capita coverage. Researchers can use the dashboard to track whether these visibility gaps persist over time."
A_002,A,Evidence-first newsroom brief,2,"## Guardian Coverage Brief

From 2026-04-01 to 2026-04-30, the Guardian sample contains 482 articles across 10 countries, averaging 48 articles per country. The United Kingdom leads raw coverage with 118 articles, while Japan has 18, a 6.6x gap. Raw volume does not tell the whole story: Australia leads per capita at 2.7 articles per 1M people. Editors should review whether low-volume countries need additional context stories before concluding that Guardian attention reflects real-world importance."
A_003,A,Evidence-first newsroom brief,3,"The Guardian dashboard for 2026-04-01 to 2026-04-30 shows 482 articles across 10 countries. United Kingdom has the most raw coverage (118 articles), and Japan has the least (18). The raw gap is 6.6x, but the per-capita view shifts attention toward Australia (2.7 per 1M). Because this is only Guardian data, the result should be treated as an editorial attention measure, not a universal measure of country importance. A useful next step is to assign follow-up review to countries that are low in both raw and per-capita coverage. Researchers can use the dashboard to track whether these visibility gaps persist over time."
A_004,A,Evidence-first newsroom brief,4,"## Guardian Coverage Brief

From 2026-04-01 to 2026-04-30, the Guardian sample contains 482 articles across 10 countries, averaging 48 articles per country. The United Kingdom leads raw coverage with 118 articles, while Japan has 18, a 6.6x gap. Raw volume does not tell the whole story: Australia leads per capita at 2.7 articles per 1M people. Editors should review whether low-volume countries need additional context stories before concluding that Guardian attention reflects real-world importance."
A_005,A,Evidence-first newsroom brief,5,"The Guardian dashboard for 2026-04-01 to 2026-04-30 shows 482 articles across 10 countries. United Kingdom has the most raw coverage (118 articles), and Japan has the least (18). The raw gap is 6.6x, but the per-capita view shifts attention toward Australia (2.7 per 1M). Because this is only Guardian data, the result should be treated as an editorial attention measure, not a universal measure of country importance. A useful next step is to assign follow-up review to countries that are low in both raw and per-capita coverage. Researchers can use the dashboard to track whether these visibility gaps persist over time."
A_006,A,Evidence-first newsroom brief,6,"## Guardian Coverage Brief

From 2026-04-01 to 2026-04-30, the Guardian sample contains 482 articles across 10 countries, averaging 48 articles per country. The United Kingdom leads raw coverage with 118 articles, while Japan has 18, a 6.6x gap. Raw volume does not tell the whole story: Australia leads per capita at 2.7 articles per 1M people. Editors should review whether low-volume countries need additional context stories before concluding that Guardian attention reflects real-world importance."
A_007,A,Evidence-first newsroom brief,7,"The Guardian dashboard for 2026-04-01 to 2026-04-30 shows 482 articles across 10 countries. United Kingdom has the most raw coverage (118 articles), and Japan has the least (18). The raw gap is 6.6x, but the per-capita view shifts attention toward Australia (2.7 per 1M). Because this is only Guardian data, the result should be treated as an editorial attention measure, not a universal measure of country importance. A useful next step is to assign follow-up review to countries that are low in both raw and per-capita coverage. Researchers can use the dashboard to track whether these visibility gaps persist over time."
A_008,A,Evidence-first newsroom brief,8,"## Guardian Coverage Brief

From 2026-04-01 to 2026-04-30, the Guardian sample contains 482 articles across 10 countries, averaging 48 articles per country. The United Kingdom leads raw coverage with 118 articles, while Japan has 18, a 6.6x gap. Raw volume does not tell the whole story: Australia leads per capita at 2.7 articles per 1M people. Editors should review whether low-volume countries need additional context stories before concluding that Guardian attention reflects real-world importance."
A_009,A,Evidence-first newsroom brief,9,"The Guardian dashboard for 2026-04-01 to 2026-04-30 shows 482 articles across 10 countries. United Kingdom has the most raw coverage (118 articles), and Japan has the least (18). The raw gap is 6.6x, but the per-capita view shifts attention toward Australia (2.7 per 1M). Because this is only Guardian data, the result should be treated as an editorial attention measure, not a universal measure of country importance. A useful next step is to assign follow-up review to countries that are low in both raw and per-capita coverage. Researchers can use the dashboard to track whether these visibility gaps persist over time."
A_010,A,Evidence-first newsroom brief,10,"## Guardian Coverage Brief

From 2026-04-01 to 2026-04-30, the Guardian sample contains 482 articles across 10 countries, averaging 48 articles per country. The United Kingdom leads raw coverage with 118 articles, while Japan has 18, a 6.6x gap. Raw volume does not tell the whole story: Australia leads per capita at 2.7 articles per 1M people. Editors should review whether low-volume countries need additional context stories before concluding that Guardian attention reflects real-world importance."
A_011,A,Evidence-first newsroom brief,11,"The Guardian dashboard for 2026-04-01 to 2026-04-30 shows 482 articles across 10 countries. United Kingdom has the most raw coverage (118 articles), and Japan has the least (18). The raw gap is 6.6x, but the per-capita view shifts attention toward Australia (2.7 per 1M). Because this is only Guardian data, the result should be treated as an editorial attention measure, not a universal measure of country importance. A useful next step is to assign follow-up review to countries that are low in both raw and per-capita coverage. Researchers can use the dashboard to track whether these visibility gaps persist over time."
A_012,A,Evidence-first newsroom brief,12,"## Guardian Coverage Brief

From 2026-04-01 to 2026-04-30, the Guardian sample contains 482 articles across 10 countries, averaging 48 articles per country. The United Kingdom leads raw coverage with 118 articles, while Japan has 18, a 6.6x gap. Raw volume does not tell the whole story: Australia leads per capita at 2.7 articles per 1M people. Editors should review whether low-volume countries need additional context stories before concluding that Guardian attention reflects real-world importance."
B_001,B,Concise executive summary,1,"Coverage is concentrated in a few countries. The dataset has 482 Guardian articles, with United Kingdom at the top. Researchers should compare country visibility before drawing conclusions."
B_002,B,Concise executive summary,2,"The Guardian sample shows uneven geographic attention. United Kingdom received 118 articles, compared with 18 for Japan. The pattern suggests editors may want to inspect coverage gaps across countries."
B_003,B,Concise executive summary,3,"Coverage is concentrated in a few countries. The dataset has 482 Guardian articles, with United Kingdom at the top. Researchers should compare country visibility before drawing conclusions."
B_004,B,Concise executive summary,4,"The Guardian sample shows uneven geographic attention. United Kingdom received 118 articles, compared with 18 for Japan. The pattern suggests editors may want to inspect coverage gaps across countries."
B_005,B,Concise executive summary,5,"Coverage is concentrated in a few countries. The dataset has 482 Guardian articles, with United Kingdom at the top. Researchers should compare country visibility before drawing conclusions."
B_006,B,Concise executive summary,6,"The Guardian sample shows uneven geographic attention. United Kingdom received 118 articles, compared with 18 for Japan. The pattern suggests editors may want to inspect coverage gaps across countries."
B_007,B,Concise executive summary,7,"Coverage is concentrated in a few countries. The dataset has 482 Guardian articles, with United Kingdom at the top. Researchers should compare country visibility before drawing conclusions."
B_008,B,Concise executive summary,8,"The Guardian sample shows uneven geographic attention. United Kingdom received 118 articles, compared with 18 for Japan. The pattern suggests editors may want to inspect coverage gaps across countries."
B_009,B,Concise executive summary,9,"Coverage is concentrated in a few countries. The dataset has 482 Guardian articles, with United Kingdom at the top. Researchers should compare country visibility before drawing conclusions."
B_010,B,Concise executive summary,10,"The Guardian sample shows uneven geographic attention. United Kingdom received 118 articles, compared with 18 for Japan. The pattern suggests editors may want to inspect coverage gaps across countries."
B_011,B,Concise executive summary,11,"Coverage is concentrated in a few countries. The dataset has 482 Guardian articles, with United Kingdom at the top. Researchers should compare country visibility before drawing conclusions."
B_012,B,Concise executive summary,12,"The Guardian sample shows uneven geographic attention. United Kingdom received 118 articles, compared with 18 for Japan. The pattern suggests editors may want to inspect coverage gaps across countries."
C_001,C,Narrative opinion style,1,"The news world has a huge imbalance. The United States had 180 Guardian stories and therefore controls the agenda. Smaller countries barely matter in this dataset, so the dashboard proves that global journalism follows power."
C_002,C,Narrative opinion style,2,"Global attention is clearly biased and dramatic. Britain dominates because editors are obviously more interested in powerful countries, while Japan is almost ignored with only 8 articles. This proves a major media blind spot and shows that international reporting priorities are broken."
C_003,C,Narrative opinion style,3,"The news world has a huge imbalance. The United States had 180 Guardian stories and therefore controls the agenda. Smaller countries barely matter in this dataset, so the dashboard proves that global journalism follows power."
C_004,C,Narrative opinion style,4,"Global attention is clearly biased and dramatic. Britain dominates because editors are obviously more interested in powerful countries, while Japan is almost ignored with only 8 articles. This proves a major media blind spot and shows that international reporting priorities are broken."
C_005,C,Narrative opinion style,5,"The news world has a huge imbalance. The United States had 180 Guardian stories and therefore controls the agenda. Smaller countries barely matter in this dataset, so the dashboard proves that global journalism follows power."
C_006,C,Narrative opinion style,6,"Global attention is clearly biased and dramatic. Britain dominates because editors are obviously more interested in powerful countries, while Japan is almost ignored with only 8 articles. This proves a major media blind spot and shows that international reporting priorities are broken."
C_007,C,Narrative opinion style,7,"The news world has a huge imbalance. The United States had 180 Guardian stories and therefore controls the agenda. Smaller countries barely matter in this dataset, so the dashboard proves that global journalism follows power."
C_008,C,Narrative opinion style,8,"Global attention is clearly biased and dramatic. Britain dominates because editors are obviously more interested in powerful countries, while Japan is almost ignored with only 8 articles. This proves a major media blind spot and shows that international reporting priorities are broken."
C_009,C,Narrative opinion style,9,"The news world has a huge imbalance. The United States had 180 Guardian stories and therefore controls the agenda. Smaller countries barely matter in this dataset, so the dashboard proves that global journalism follows power."
C_010,C,Narrative opinion style,10,"Global attention is clearly biased and dramatic. Britain dominates because editors are obviously more interested in powerful countries, while Japan is almost ignored with only 8 articles. This proves a major media blind spot and shows that international reporting priorities are broken."
C_011,C,Narrative opinion style,11,"The news world has a huge imbalance. The United States had 180 Guardian stories and therefore controls the agenda. Smaller countries barely matter in this dataset, so the dashboard proves that global journalism follows power."
C_012,C,Narrative opinion style,12,"Global attention is clearly biased and dramatic. Britain dominates because editors are obviously more interested in powerful countries, while Japan is almost ignored with only 8 articles. This proves a major media blind spot and shows that international reporting priorities are broken."
